#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
74,Stebin Ben @stebinben,14.3M,4.48%,India,Entertainment and Music Modeling Singer Celebrities,4.3M
75,Mika Singh @mikasingh,14.2M,0.36%,India,Entertainment and Music Celebrity Music Singer,4.3M
76,ARMAAN MALIK 🧿 @armaanmalik,14.2M,1.04%,India,Entertainment and Music Music Singer,4.3M
77,Dulquer Salmaan @dqsalmaan,14.2M,6.19%,India,Entertainment and Music Auto and Vehicles Celebrity,4.3M
78,Esha Gupta @egupta,14.1M,3.23%,India,Entertainment and Music Celebrity Actors Soccer,4.2M
79,Bipasha Basu @bipashabasu,13.9M,0.47%,India,Fitness and Health Modeling,4.2M
80,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ) @sidhu_moosewala,13.9M,23.22%,India,Entertainment and Music Music Singer,4.2M
81,Genelia Deshmukh @geneliad,13.4M,7.13%,India,Acting and Drama Food family Actors,4M
82,Hasnain khan @hasnaink07,13.3M,0.1%,India,Finance Modeling,4M
83,Remo Dsouza @remodsouza,13.2M,1.2%,India,Entertainment and Music Dance,4M
84,Harbhajan Turbanator Singh @harbhajan3,13.2M,0.71%,India,Fitness Cricket Modeling,4M
85,Sushant Singh Rajput @sushantsinghrajput,13.1M,19.81%,India,Entertainment and Music Actors Modeling,3.9M
86,Surya Kumar Yadav (SKY) @surya_14kumar,12.9M,6.57%,India,Beauty,3.9M
87,NitaShilimkar @nita_shilimkar,12.7M,4.7%,India,Beauty and Self Care,3.8M
88,Mumbai Indians @mumbaiindians,12.5M,0.24%,India,Sports Personal Finance Cricket,3.8M
89,KL Rahul👑 @klrahul,12.3M,4%,India,Sports Cricket Athlete,3.7M
90,Abhishek Bachchan @bachchan,12.2M,0.35%,India,Entertainment and Music Actors Producers,3.6M
91,John Abraham @thejohnabraham,11.9M,0.64%,India,Entertainment and Music Acting and Drama Auto and Vehicles Actors,3.6M
92,Mahesh Babu @urstrulymahesh,11.8M,5.1%,India,Acting and Drama Celebrity Modeling Actors,3.5M
93,RVCJ Media @rvcjinsta,11.6M,0.2%,India,Entertainment and Music Product Showcase,3.5M
94,Adnaan Shaikh @adnaan_07dz,11.5M,0.53%,India,"Fitness and Health Modeling Film, Music & Books Celebrities",3.5M
95,Riva Arora @rivarora_,11.5M,0.77%,India,Celebrity,3.4M
96,Raghav Juyal @raghavjuyal,11.4M,3.34%,India,Entertainment and Music Home and Garden Music Modeling,3.4M
97,Siddharth Nigam @thesiddharthnigam,11.3M,0.87%,India,Entertainment and Music Sports Celebrity,3.4M
98,MC STΔN 💔 @m___c___stan,11.1M,13.19%,India,Entertainment and Music Fashion and Accessories,3.3M
99,Sahil Khan @sahilkhan,11M,1.15%,India,Fitness and Health Product Education Gym Coaching,3.3M
100,Ajay Devgn @ajaydevgn,10.8M,2.12%,India,Acting and Drama,3.3M
